"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"146",2001,"SOUTH CAROLINA",720.3,6.3,130.7,549.3,4032.4,906.5,2762.7,363.3
"147",2001,"SOUTH DAKOTA",154.8,0.9,13.6,93.8,2177.2,408,1661.5,107.7
"148",2001,"TENNESSEE",745.3,7.4,178,521.6,4407.5,1040.2,2874.8,492.5
"149",2001,"TEXAS",572.8,6.2,165.8,362.5,4579.9,958.3,3140.1,481.4
"150",2001,"UTAH",234.1,3,52.7,139,4008.9,608.2,3113.8,286.9
"151",2001,"VERMONT",105,1.1,17.5,69,2664.2,513.8,2026.8,123.6
"152",2001,"VIRGINIA",291.3,5.1,95.4,166.2,2886.9,439.7,2185.1,262.1
"153",2001,"WASHINGTON",355,3,99.1,209.5,4796.8,885.5,3258.7,652.6
"154",2001,"WEST VIRGINIA",279.4,2.2,39.2,220.2,2280.1,532.8,1568.8,178.5
"155",2001,"WISCONSIN",231.1,3.6,82.3,124.2,3090.1,498.5,2319.1,272.5
"156",2001,"WYOMING",257.3,1.8,17,207.5,3260.4,501.8,2617.8,140.8
"157",2002,"ALABAMA",444.2,6.8,132.9,267.5,4020.9,949,2762.3,309.6
"158",2002,"ALASKA",563.4,5.1,76,402.9,3746.3,607,2755.4,383.8
"159",2002,"ARIZONA",552.9,7.1,146.6,369.8,5833.4,1082.9,3693.6,1056.9
"160",2002,"ARKANSAS",424.4,5.2,93.1,298.2,3733.1,857.1,2624.6,251.4
"161",2002,"CALIFORNIA",593.4,6.8,185,372.6,3350.3,679,2038.1,633.2
"162",2002,"COLORADO",352.4,4,79.4,223.2,3995.4,702.9,2778,514.4
"163",2002,"CONNECTICUT",311.1,2.3,117.3,170.4,2686.1,493.8,1857.9,334.4
"164",2002,"DELAWARE",599,3.2,142.9,408.5,3340,663.3,2298.2,378.6
"165",2002,"DISTRICT OF COLUMBIA",1632.9,46.2,671.6,869.2,6389.4,905.6,3802.4,1681.4
"166",2002,"FLORIDA",770.2,5.5,194.9,529.4,4650.4,1060.5,3060.3,529.6
"167",2002,"GEORGIA",458.8,7.1,156.9,270.1,4048.4,863.7,2740.4,444.3
"168",2002,"HAWAII",262,1.9,97.2,133,5781.7,1021.9,3963.7,796
"169",2002,"IDAHO",254.9,2.7,17.9,197.3,2917.5,554.8,2166.8,195.9
"170",2002,"ILLINOIS",620.7,7.5,200.6,378.5,3395.6,643.8,2395.9,356
"171",2002,"INDIANA",357.2,5.9,107.4,214.1,3392.8,691.7,2371.7,329.4
"172",2002,"IOWA",285.6,1.5,39.8,217.2,3162.6,634.8,2329.5,198.3
"173",2002,"KANSAS",376.6,2.9,79.7,255.9,3710.3,724.6,2720.2,265.5
"174",2002,"KENTUCKY",279,4.5,74.8,173.1,2623.6,680.6,1729.2,213.8
"175",2002,"LOUISIANA",662.3,13.2,158.9,456.1,4435.7,1011.7,2973.7,450.3
"176",2002,"MAINE",107.8,1.1,20.9,56.8,2548.2,538.1,1899.7,110.4
"177",2002,"MARYLAND",769.8,9.4,245.8,489.5,3977.6,728.5,2625.8,623.3
"178",2002,"MASSACHUSETTS",484.4,2.7,111.5,342.5,2609.8,517.2,1679,413.6
"179",2002,"MICHIGAN",540.3,6.7,117.9,362.3,3333.8,706.1,2132.9,494.7
"180",2002,"MINNESOTA",267.5,2.2,78.4,141.6,3267.6,558.5,2433.4,275.8
"181",2002,"MISSISSIPPI",343.3,9.2,116.9,178,3815.9,1030.5,2453.8,331.6
"182",2002,"MISSOURI",538.7,5.8,123.8,383.2,4063.8,753.1,2819.2,491.5
"183",2002,"MONTANA",351.5,1.8,31.1,292.6,3161.4,361.6,2603.7,196.1
"184",2002,"NEBRASKA",313.9,2.8,78.6,205.7,3942.8,597.3,2974.8,370.6
"185",2002,"NEVADA",637.5,8.3,235.5,351,3860,871.9,2183.5,804.5
"186",2002,"NEW HAMPSHIRE",161.2,0.9,32.4,92.9,2058.7,379.4,1526.8,152.5
"187",2002,"NEW JERSEY",374.5,3.9,161.9,193,2649.7,511,1722.7,416
"188",2002,"NEW MEXICO",739.5,8.2,118.9,557.1,4338.2,1058.4,2878.9,400.9
"189",2002,"NEW YORK",496,4.7,191.3,279.7,2307.7,400.4,1660.1,247.2
"190",2002,"NORTH CAROLINA",470.2,6.6,146.7,290.5,4251.2,1196.3,2756,298.9
"191",2002,"NORTH DAKOTA",78.2,0.8,9.1,42.6,2328,353.7,1813.7,160.5
"192",2002,"OHIO",351.3,4.6,156.5,148.2,3755.9,868.2,2513.3,374.5
"193",2002,"OKLAHOMA",503.4,4.7,84.9,368.8,4239.8,1006.7,2867.6,365.6
"194",2002,"OREGON",292.4,2,77.9,177.4,4576,729.7,3377.1,469.2
"195",2002,"PENNSYLVANIA",401.9,5.1,139.1,227.5,2439.1,450.8,1722.2,266
"196",2002,"PUERTO RICO",349.1,20.1,232.7,90.1,2003.5,641.1,1027.3,335.2
"197",2002,"RHODE ISLAND",285.2,3.8,85.6,158.8,3303.8,599.7,2248.3,455.8
"198",2002,"SOUTH CAROLINA",822,7.3,140.6,626.5,4475.3,1065.1,2999.5,410.7
"199",2002,"SOUTH DAKOTA",177.4,1.4,15.4,113.1,2101.3,398.7,1595,107.6
