"","Year","State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"206",1999,"VIRGINIA","R","Y",1,2309,"48","205",1833,15481,4072,10172,1237
"207",1999,"WASHINGTON","M","Y",0.985,19135,"149","5423",11283,233385,44467,157932,30986
"208",1999,"WASHINGTON","M","N",1,19409,"150","5506",11433,237742,45160,161006,31576
"209",1999,"WASHINGTON","O","Y",0.967,1340,"8","240",879,27660,4587,21848,1225
"210",1999,"WASHINGTON","O","N",1,1385,"8","248",909,28606,4744,22595,1267
"211",1999,"WASHINGTON","R","Y",1,922,"13","54",684,14445,4748,8733,964
"212",1999,"WEST VIRGINIA","M","Y",0.692,2441,"24","421",1834,18517,4119,12589,1809
"213",1999,"WEST VIRGINIA","M","N",1,3410,"33","489",2692,24740,5581,16766,2393
"214",1999,"WEST VIRGINIA","O","Y",0.929,844,"11","94",700,7321,1520,5394,407
"215",1999,"WEST VIRGINIA","O","N",1,909,"12","101",754,7884,1637,5809,438
"216",1999,"WEST VIRGINIA","R","Y",0.91,1836,"31","65",1650,9284,2808,5629,847
"217",1999,"WEST VIRGINIA","R","N",1,2017,"34","71",1813,10201,3085,6185,931
"218",1999,"WISCONSIN","M","Y",0.994,11064,"158","4347",5751,121372,18612,90884,11876
"219",1999,"WISCONSIN","M","N",1,11088,"158","4354",5765,121999,18685,91409,11905
"220",1999,"WISCONSIN","O","Y",0.98,872,"7","62",689,23662,2559,20148,955
"221",1999,"WISCONSIN","O","N",1,889,"7","63",703,24143,2611,20558,974
"222",1999,"WISCONSIN","R","Y",0.977,909,"14","31",739,13683,4235,8530,918
"223",1999,"WISCONSIN","R","N",1,931,"14","32",757,14012,4337,8735,940
"224",1999,"WYOMING","M","Y",1,360,"3","44",256,5309,900,4150,259
"225",1999,"WYOMING","O","Y",0.99,526,"4","25",441,8070,976,6875,219
"226",1999,"WYOMING","O","N",1,531,"4","25",445,8150,986,6943,221
"227",1999,"WYOMING","R","Y",1,224,"4","5",192,2009,463,1430,116
"228",2000,"ALABAMA","M","Y",0.896,15419,"250","4707",9386,133684,29110,94554,10020
"229",2000,"ALABAMA","M","N",1,16813,"270","5052",10323,146519,31850,103847,10822
"230",2000,"ALABAMA","O","Y",0.6442,2406,"24","369",1870,16587,3480,12305,802
"231",2000,"ALABAMA","O","N",1,3713,"37","565",2892,25599,5372,18995,1232
"232",2000,"ALABAMA","R","Y",0.595,639,"13","47",524,4930,1833,2654,443
"233",2000,"ALABAMA","R","N",1,1075,"22","79",881,8289,3082,4462,745
"234",2000,"ALASKA","M","Y",1,1524,"10","346",973,11342,1533,8799,1010
"235",2000,"ALASKA","O","Y",0.725,1028,"4","90",818,5467,758,4098,611
"236",2000,"ALASKA","O","N",1,1419,"6","124",1129,7544,1046,5655,843
"237",2000,"ALASKA","R","Y",1,611,"11","20",438,4201,1320,2384,497
"238",2000,"ARIZONA","M","Y",0.995,25362,"346","7338",16167,253353,48057,163534,41762
"239",2000,"ARIZONA","M","N",1,25457,"347","7360",16232,254639,48338,164377,41924
"240",2000,"ARIZONA","O","Y",0.986,1019,"11","98",865,12734,2312,9623,799
"241",2000,"ARIZONA","O","N",1,1034,"11","99",878,12921,2346,9764,811
"242",2000,"ARIZONA","R","Y",0.784,619,"1","35",573,3333,955,2010,368
"243",2000,"ARIZONA","R","N",1,790,"1","45",731,4251,1218,2564,469
"244",2000,"ARKANSAS","M","Y",1,7271,"95","1486",5093,63001,12337,45880,4784
"245",2000,"ARKANSAS","O","Y",0.999,3159,"33","418",2549,23983,5345,17434,1204
"246",2000,"ARKANSAS","O","N",1,3163,"33","419",2552,24014,5352,17456,1206
"247",2000,"ARKANSAS","R","Y",0.987,1451,"40","95",1225,10952,3704,6319,929
"248",2000,"ARKANSAS","R","N",1,1470,"40","96",1242,11100,3754,6404,942
"249",2000,"CALIFORNIA","M","Y",1,206253,"2028","59749",135010,1025734,213040,633595,179099
"250",2000,"CALIFORNIA","O","Y",0.995,2472,"24","372",1941,17854,4348,11837,1669
"251",2000,"CALIFORNIA","O","N",1,2485,"24","374",1951,17943,4370,11896,1677
"252",2000,"CALIFORNIA","R","Y",1,1793,"27","126",1457,12505,4883,6363,1259
"253",2000,"COLORADO","M","Y",0.98,12550,"118","2884",8015,132654,23361,93677,15616
