"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"OHIO","O","N","1",38767,1889,36878,"22",283,"514",1070,6018,29387,1473
"OHIO","R","Y","0.625",14687,584,14103,"22",120,"65",377,4115,9059,929
"OHIO","R","N","1",23489,934,22555,"35",192,"104",603,6581,14488,1486
"OKLAHOMA","M","Y","1",115825,12128,103697,"104",1044,"2253",8727,21464,72340,9893
"OKLAHOMA","O","Y","1",31979,3477,28502,"38",262,"312",2865,7038,19839,1625
"OKLAHOMA","R","Y","1",9498,1572,7926,"40",116,"50",1366,3159,3937,830
"OREGON","M","Y","0.999",130811,10250,120561,"55",1010,"2577",6608,18987,89743,11831
"OREGON","M","N","1",130949,10257,120692,"55",1011,"2579",6612,19007,89843,11842
"OREGON","O","Y","0.98699999999999999",24280,1071,23209,"4",138,"239",690,3879,18000,1330
"OREGON","O","N","1",24591,1085,23506,"4",140,"242",699,3929,18230,1347
"OREGON","R","Y","0.93899999999999995",9618,618,9000,"10",127,"63",418,2519,5783,698
"OREGON","R","N","1",10240,658,9582,"11",135,"67",445,2682,6157,743
"PENNSYLVANIA","M","Y","0.94499999999999995",316177,46323,269854,"558",2647,"17475",25643,44835,191876,33143
"PENNSYLVANIA","M","N","1",329701,47592,282109,"567",2724,"17772",26529,46457,201550,34102
"PENNSYLVANIA","O","Y","0.81599999999999995",16864,1856,15008,"11",192,"197",1456,2201,12012,795
"PENNSYLVANIA","O","N","1",20659,2274,18385,"14",235,"241",1784,2696,14715,974
"PENNSYLVANIA","R","Y","1",17498,1718,15780,"21",288,"142",1267,4927,9604,1249
"PUERTO RICO","M","Y","1",66923,11102,55821,"630",179,"8064",2229,17830,25979,12012
"PUERTO RICO","O","Y","1",8454,1302,7152,"63",49,"693",497,3227,2961,964
"RHODE ISLAND","M","Y","1",33638,2867,30771,"41",369,"880",1577,6061,20167,4543
"RHODE ISLAND","O","Y","1",2724,225,2499,"2",34,"42",147,545,1834,120
"RHODE ISLAND","R","Y","1",82,29,53,"2",9,"--",18,14,37,2
"SOUTH CAROLINA","M","Y","0.99099999999999999",150626,21297,129329,"157",1074,"4500",15566,26341,91428,11560
"SOUTH CAROLINA","M","N","1",152026,21451,130575,"158",1080,"4530",15683,26530,92401,11644
"SOUTH CAROLINA","O","Y","0.97499999999999998",22442,4325,18117,"20",131,"607",3567,3825,13277,1015
"SOUTH CAROLINA","O","N","1",23007,4434,18573,"21",134,"622",3657,3921,13611,1041
"SOUTH CAROLINA","R","Y","1",34449,6408,28041,"54",297,"731",5326,8437,17082,2522
"SOUTH DAKOTA","M","Y","0.93700000000000006",8984,735,8249,"3",179,"98",455,1279,6535,435
"SOUTH DAKOTA","M","N","1",9468,765,8703,"3",193,"99",470,1343,6910,450
"SOUTH DAKOTA","O","Y","0.95699999999999996",5780,290,5490,"1",70,"29",190,904,4368,218
"SOUTH DAKOTA","O","N","1",5937,293,5644,"1",71,"29",192,931,4491,222
"SOUTH DAKOTA","R","Y","0.56899999999999995",1140,109,1031,"2",22,"1",84,346,617,68
"SOUTH DAKOTA","R","N","1",2004,192,1812,"3",39,"2",148,608,1084,120
"TENNESSEE","M","Y","0.999",219062,32767,186295,"326",1815,"8793",21833,43354,119470,23471
"TENNESSEE","M","N","1",219327,32794,186533,"326",1816,"8797",21855,43394,119650,23489
"TENNESSEE","O","Y","0.995",35534,4167,31367,"39",209,"521",3398,6005,23353,2009
"TENNESSEE","O","N","1",35712,4188,31524,"39",210,"524",3415,6035,23470,2019
"TENNESSEE","R","Y","1",22935,3223,19712,"45",158,"141",2879,6884,10817,2011
"TEXAS","M","Y","0.998",941943,103749,838194,"1108",6829,"29323",66489,166976,582539,88679
"TEXAS","M","N","1",943556,103862,839694,"1108",6838,"29349",66567,167263,583642,88789
"TEXAS","O","Y","0.98099999999999998",60444,6055,54389,"48",604,"705",4698,11929,39906,2554
"TEXAS","O","N","1",61532,6170,55362,"49",616,"718",4787,12135,40625,2602
"TEXAS","R","Y","0.99099999999999999",27975,3588,24387,"80",398,"188",2922,9493,13139,1755
"TEXAS","R","N","1",28223,3621,24602,"81",402,"190",2948,9577,13255,1770
"UTAH","M","Y","0.998",84516,4866,79650,"38",706,"1194",2928,11762,62137,5751
"UTAH","M","N","1",84649,4874,79775,"38",707,"1195",2934,11781,62234,5760
"UTAH","O","Y","0.96899999999999997",9877,487,9390,"3",101,"31",352,1412,7556,422
"UTAH","O","N","1",10197,502,9695,"3",104,"32",363,1458,7801,436
"UTAH","R","Y","0.96899999999999997",4953,325,4628,"2",50,"15",258,1074,3297,257
"UTAH","R","N","1",5112,335,4777,"2",52,"15",266,1109,3403,265
"VERMONT","M","Y","1",6833,281,6552,"1",41,"52",187,1023,5255,274
"VERMONT","O","Y","0.99399999999999999",7352,250,7102,"4",65,"46",135,1150,5679,273
"VERMONT","O","N","1",7398,251,7147,"4",65,"46",136,1157,5715,275
"VERMONT","R","Y","1",3954,159,3795,"4",34,"19",102,1321,2214,260
"VIRGINIA","M","Y","0.98999999999999999",180934,16439,164495,"296",1281,"5846",9016,24766,123918,15811
"VIRGINIA","M","N","1",182407,16556,165851,"298",1291,"5878",9089,24940,124979,15932
"VIRGINIA","O","Y","0.90500000000000003",13446,1187,12259,"28",123,"183",853,1540,10084,635
"VIRGINIA","O","N","1",14851,1311,13540,"31",136,"202",942,1701,11138,701
"VIRGINIA","R","Y","0.99399999999999999",16987,2064,14923,"72",188,"214",1590,3770,9980,1173
"VIRGINIA","R","N","1",17090,2076,15014,"72",189,"215",1600,3793,10041,1180
"WASHINGTON","M","Y","0.995",255250,19379,235871,"155",2264,"5454",11506,44284,159129,32458
"WASHINGTON","M","N","1",256674,19461,237213,"155",2276,"5478",11552,44503,160069,32641
"WASHINGTON","O","Y","0.95899999999999996",28163,1405,26758,"16",277,"255",857,4223,21120,1415
"WASHINGTON","O","N","1",29361,1465,27896,"17",289,"266",893,4403,22018,1475
